File,Time(s),Displacement(m)
case1_H1_T6.sim,0.0,-0.0012718387879431246
case1_H1_T6.sim,0.09999999999999964,-0.0014427866553887723
case1_H1_T6.sim,0.20000000000000107,-0.0016136474441736934
case1_H1_T6.sim,0.3000000000000007,-0.0017756477463990448
case1_H1_T6.sim,0.40000000000000036,-0.00192292348947376
case1_H1_T6.sim,0.5,-0.0020503939595073457
case1_H1_T6.sim,0.5999999999999996,-0.0021511013619601722
case1_H1_T6.sim,0.7000000000000011,-0.002202645875513553
case1_H1_T6.sim,0.8000000000000007,-0.002185258781537413
case1_H1_T6.sim,0.9000000000000004,-0.002092199400067329
case1_H1_T6.sim,1.0,-0.0019191050669178364
case1_H1_T6.sim,1.0999999999999996,-0.0016666073352098463
case1_H1_T6.sim,1.200000000000001,-0.0013491291319951413
case1_H1_T6.sim,1.3000000000000007,-0.0009834551019594071
case1_H1_T6.sim,1.4000000000000004,-0.0005796201294288038
case1_H1_T6.sim,1.5,-0.00014481929247267542
case1_H1_T6.sim,1.6000000000000014,0.0003155050217173993
case1_H1_T6.sim,1.700000000000001,0.0007953040185384451
case1_H1_T6.sim,1.8000000000000007,0.0012700096704065798
case1_H1_T6.sim,1.9000000000000004,0.0017171152867376802
case1_H1_T6.sim,2.0,0.002123103011399507
case1_H1_T6.sim,2.1000000000000014,0.002476407680660486
case1_H1_T6.sim,2.200000000000001,0.0027681491337716575
case1_H1_T6.sim,2.3000000000000007,0.003004755591973662
case1_H1_T6.sim,2.4000000000000004,0.003196668811142444
case1_H1_T6.sim,2.5,0.0033503428567200895
case1_H1_T6.sim,2.6000000000000014,0.0034696422517299648
case1_H1_T6.sim,2.700000000000001,0.0035544347483664747
case1_H1_T6.sim,2.8000000000000007,0.003603222547098994
case1_H1_T6.sim,2.9000000000000004,0.0036342698149383064
case1_H1_T6.sim,3.0,0.0036649017129093404
case1_H1_T6.sim,3.1000000000000014,0.003706582356244325
case1_H1_T6.sim,3.200000000000001,0.0037693029735237356
case1_H1_T6.sim,3.3000000000000007,0.0038621500134468074
case1_H1_T6.sim,3.4000000000000004,0.003979422617703675
case1_H1_T6.sim,3.5,0.00411029765382409
case1_H1_T6.sim,3.6000000000000014,0.0042457706294953814
case1_H1_T6.sim,3.700000000000001,0.0043786782771348945
case1_H1_T6.sim,3.8000000000000007,0.004509254358708858
case1_H1_T6.sim,3.9000000000000004,0.0046411571092903605
case1_H1_T6.sim,4.0,0.004759131465107202
case1_H1_T6.sim,4.100000000000001,0.0048470660112798205
case1_H1_T6.sim,4.200000000000001,0.004892254713922738
case1_H1_T6.sim,4.300000000000001,0.004882046952843665
case1_H1_T6.sim,4.4,0.004804931115359067
case1_H1_T6.sim,4.5,0.004664133302867412
case1_H1_T6.sim,4.600000000000001,0.004469832871109246
case1_H1_T6.sim,4.700000000000001,0.0042324941605329505
case1_H1_T6.sim,4.800000000000001,0.003962668124586343
case1_H1_T6.sim,4.9,0.0036610392853617664
case1_H1_T6.sim,5.0,0.0033242448698729272
case1_H1_T6.sim,5.100000000000001,0.002966015832498669
case1_H1_T6.sim,5.200000000000001,0.0026029630098491903
case1_H1_T6.sim,5.300000000000001,0.0022494727745652194
case1_H1_T6.sim,5.4,0.0019224502611905334
case1_H1_T6.sim,5.5,0.0016382730100303886
case1_H1_T6.sim,5.600000000000001,0.0013998924987390635
case1_H1_T6.sim,5.700000000000001,0.0012022689916193483
case1_H1_T6.sim,5.800000000000001,0.001038338174112141
case1_H1_T6.sim,5.9,0.000898691767361015
case1_H1_T6.sim,6.0,0.0007866028463467955
case1_H1_T6.sim,6.100000000000001,0.0007097756024450063
case1_H1_T6.sim,6.200000000000001,0.0006619123159907757
case1_H1_T6.sim,6.300000000000001,0.0006321712862700223
case1_H1_T6.sim,6.4,0.0006116527365520595
case1_H1_T6.sim,6.5,0.0005863414844498037
case1_H1_T6.sim,6.600000000000001,0.0005416797357611357
case1_H1_T6.sim,6.700000000000001,0.0004743052122648805
case1_H1_T6.sim,6.800000000000001,0.0003891695232596248
case1_H1_T6.sim,6.9,0.00029560082475654775
case1_H1_T6.sim,7.0,0.00020840532670263198
case1_H1_T6.sim,7.100000000000001,0.00012758029333781448
case1_H1_T6.sim,7.200000000000001,4.8331494326703244e-05
case1_H1_T6.sim,7.300000000000001,-2.404036604275461e-05
case1_H1_T6.sim,7.4,-7.96077656559646e-05
case1_H1_T6.sim,7.5,-0.00011145997268613427
case1_H1_T6.sim,7.600000000000001,-0.00010635042417561634
case1_H1_T6.sim,7.700000000000001,-5.0273592933081084e-05
case1_H1_T6.sim,7.800000000000001,6.103412306401878e-05
case1_H1_T6.sim,7.9,0.00022355385590344665
case1_H1_T6.sim,8.0,0.0004263545852154493
case1_H1_T6.sim,8.100000000000001,0.0006493836408481001
case1_H1_T6.sim,8.2,0.0008875572239048778
case1_H1_T6.sim,8.3,0.0011406722478568552
case1_H1_T6.sim,8.400000000000002,0.0014006224228069184
case1_H1_T6.sim,8.5,0.0016540173674002288
case1_H1_T6.sim,8.600000000000001,0.0018901983276009557
case1_H1_T6.sim,8.7,0.002090742345899343
case1_H1_T6.sim,8.8,0.0022358223795890804
case1_H1_T6.sim,8.900000000000002,0.00231403624638915
case1_H1_T6.sim,9.0,0.002320966217666864
case1_H1_T6.sim,9.100000000000001,0.0022613492328673597
case1_H1_T6.sim,9.2,0.0021520860027521844
case1_H1_T6.sim,9.3,0.001997170969843864
case1_H1_T6.sim,9.400000000000002,0.0017953750211745498
case1_H1_T6.sim,9.5,0.0015515785198658703
case1_H1_T6.sim,9.600000000000001,0.0012756765354424713
case1_H1_T6.sim,9.7,0.0009756202343851327
case1_H1_T6.sim,9.8,0.000668614578898996
case1_H1_T6.sim,9.900000000000002,0.00037551191053353245
case1_H1_T6.sim,10.0,0.00011041216930607332
case1_H1_T6.sim,10.100000000000001,-0.00011773061123676597
case1_H1_T6.sim,10.2,-0.0003111255064141005
case1_H1_T6.sim,10.3,-0.0004848577373195439
case1_H1_T6.sim,10.400000000000002,-0.0006428135093301534
case1_H1_T6.sim,10.5,-0.0007829281967133283
case1_H1_T6.sim,10.600000000000001,-0.0009079598239623009
case1_H1_T6.sim,10.7,-0.0010242896387353537
case1_H1_T6.sim,10.8,-0.0011366237886250017
case1_H1_T6.sim,10.900000000000002,-0.0012586546363309024
case1_H1_T6.sim,11.0,-0.0014097940875217316
case1_H1_T6.sim,11.100000000000001,-0.0016050169942900536
case1_H1_T6.sim,11.200000000000003,-0.001856671064160764
case1_H1_T6.sim,11.3,-0.0021624786313623186
case1_H1_T6.sim,11.400000000000002,-0.002506002783775329
case1_H1_T6.sim,11.5,-0.0028793106321245428
case1_H1_T6.sim,11.600000000000001,-0.0032812687568366523
case1_H1_T6.sim,11.700000000000003,-0.0037061679176986213
case1_H1_T6.sim,11.8,-0.004146227147430181
case1_H1_T6.sim,11.900000000000002,-0.0045949146151542655
case1_H1_T6.sim,12.0,-0.0050370865501463405
case1_H1_T6.sim,12.100000000000001,-0.005450721364468335
case1_H1_T6.sim,12.200000000000003,-0.005815811920911073
case1_H1_T6.sim,12.3,-0.006110386457294225
case1_H1_T6.sim,12.400000000000002,-0.006328357383608817
case1_H1_T6.sim,12.5,-0.006479014642536639
case1_H1_T6.sim,12.600000000000001,-0.006566870026290416
case1_H1_T6.sim,12.700000000000003,-0.006589815951883792
case1_H1_T6.sim,12.8,-0.006550808902829885
case1_H1_T6.sim,12.900000000000002,-0.006453159730881452
case1_H1_T6.sim,13.0,-0.006299074739217757
case1_H1_T6.sim,13.100000000000001,-0.006099484860897063
case1_H1_T6.sim,13.200000000000003,-0.0058725355193018905
case1_H1_T6.sim,13.3,-0.005636410787701606
case1_H1_T6.sim,13.400000000000002,-0.005415108520537614
case1_H1_T6.sim,13.5,-0.005217903293669223
case1_H1_T6.sim,13.600000000000001,-0.005039810203015803
case1_H1_T6.sim,13.700000000000003,-0.0048788134008646
case1_H1_T6.sim,13.8,-0.0047397990711033336
case1_H1_T6.sim,13.900000000000002,-0.004622708074748515
case1_H1_T6.sim,14.0,-0.0045288405381143084
case1_H1_T6.sim,14.100000000000001,-0.004461714066565036
case1_H1_T6.sim,14.200000000000003,-0.004416767042130231
case1_H1_T6.sim,14.3,-0.0043824384920299045
case1_H1_T6.sim,14.400000000000002,-0.004344673361629247
case1_H1_T6.sim,14.5,-0.004281315486878156
case1_H1_T6.sim,14.600000000000001,-0.004184559918940066
case1_H1_T6.sim,14.700000000000003,-0.0040617785416543475
case1_H1_T6.sim,14.8,-0.003919916693121194
case1_H1_T6.sim,14.900000000000002,-0.0037593597080558534
case1_H1_T6.sim,15.0,-0.0035845595411956306
case1_H1_T6.sim,15.100000000000001,-0.0033973816316574808
case1_H1_T6.sim,15.200000000000003,-0.0031962823122739788
case1_H1_T6.sim,15.3,-0.002986387582495808
case1_H1_T6.sim,15.400000000000002,-0.0027778262738138433
case1_H1_T6.sim,15.5,-0.0025856308639049526
case1_H1_T6.sim,15.600000000000001,-0.002435494679957628
case1_H1_T6.sim,15.700000000000003,-0.002340866485610604
case1_H1_T6.sim,15.8,-0.0022991460282355543
case1_H1_T6.sim,15.900000000000002,-0.00230565364472568
